"","NAME","pCycle01","pCycle","Abs.Growth","Growth","Evidence"
"58","Cambridge",28.3,31.9,3.6,12.7,"..."
"324","Bristol, City of",4.9,8.1,3.1,63.7,"..."
"36","Oxford",16.2,18.7,2.5,15.5,"..."
"112","Brighton and Hove",3,5.3,2.4,80.1,"..."
"108","Exeter",4.8,6.6,1.8,37.3,"..."
"53","Boston",11.1,6.9,-4.3,-38.4,"..."
"224","Kingston upon Hull, City of",12.3,8.3,-4,-32.2,"..."
"129","Waveney",9.3,6.5,-2.7,-29.6,"..."
"299","Fenland",7.4,4.9,-2.6,-34.4,"..."
"152","North East Lincolnshire",8.2,5.6,-2.6,-31.2,"..."
