CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F64832,F65600,F66371,F16584,F19086,F34704,
,,,,,Age : Age 18 to 19 - Ethnic group : White - Sex : Males - Unit : Persons,Age : Age 20 to 24 - Ethnic group : White - Sex : Males - Unit : Persons,Age : Age 25 to 29 - Ethnic group : White - Sex : Males - Unit : Persons,Age : Age 30 to 34 - Ethnic group : White - Sex : Males - Unit : Persons,Age : Age 35 to 39 - Ethnic group : White - Sex : Males - Unit : Persons,Age : Age 25 to 49 - Ethnic group : White - Sex : Males - Unit : Persons,
52,95AA,Antrim,Local Authorities,LA,,,,,,,
53,95BB,Ards,Local Authorities,LA,,,,,,,
54,95CC,Armagh,Local Authorities,LA,,,,,,,
55,95DD,Ballymena,Local Authorities,LA,,,,,,,
56,95EE,Ballymoney,Local Authorities,LA,,,,,,,
57,95FF,Banbridge,Local Authorities,LA,,,,,,,
58,95GG,Belfast,Local Authorities,LA,,,,,,,
59,95HH,Carrickfergus,Local Authorities,LA,,,,,,,
60,95II,Castlereagh,Local Authorities,LA,,,,,,,
61,95JJ,Coleraine,Local Authorities,LA,,,,,,,
62,95KK,Cookstown,Local Authorities,LA,,,,,,,
63,95LL,Craigavon,Local Authorities,LA,,,,,,,
64,95MM,Derry,Local Authorities,LA,,,,,,,
65,95NN,Down,Local Authorities,LA,,,,,,,
66,95OO,Dungannon,Local Authorities,LA,,,,,,,
67,95PP,Fermanagh,Local Authorities,LA,,,,,,,
68,95QQ,Larne,Local Authorities,LA,,,,,,,
69,95RR,Limavady,Local Authorities,LA,,,,,,,
70,95SS,Lisburn,Local Authorities,LA,,,,,,,
71,95TT,Magherafelt,Local Authorities,LA,,,,,,,
72,95UU,Moyle,Local Authorities,LA,,,,,,,
73,95VV,Newry and Mourne,Local Authorities,LA,,,,,,,
74,95WW,Newtownabbey,Local Authorities,LA,,,,,,,
75,95XX,North Down,Local Authorities,LA,,,,,,,
76,95YY,Omagh,Local Authorities,LA,,,,,,,
77,95ZZ,Strabane,Local Authorities,LA,,,,,,,
78,E06000001,Hartlepool,Local Authorities,LA,1170,2950,2612,2294,2563,13993,
79,E06000002,Middlesbrough,Local Authorities,LA,2034,5065,3870,3154,3207,18429,
80,E06000003,Redcar and Cleveland,Local Authorities,LA,1751,4000,3566,3246,3625,19906,
81,E06000004,Stockton-on-Tees,Local Authorities,LA,2558,5976,5716,5076,5437,29585,
82,E06000005,Darlington,Local Authorities,LA,1160,2825,3046,2966,3118,16631,
83,E06000006,Halton,Local Authorities,LA,1537,3907,3880,3647,3855,20246,
84,E06000007,Warrington,Local Authorities,LA,2385,5862,5971,5596,6593,33781,
85,E06000008,Blackburn with Darwen,Local Authorities,LA,1189,3039,3163,2767,3189,16994,
86,E06000009,Blackpool,Local Authorities,LA,1620,4058,3989,3624,4098,22175,
87,E06000010,"Kingston upon Hull, City of",Local Authorities,LA,3779,10833,9195,8005,8051,42548,
88,E06000011,East Riding of Yorkshire,Local Authorities,LA,4022,8095,7412,7524,9498,48806,
89,E06000012,North East Lincolnshire,Local Authorities,LA,2070,5002,4702,4103,4738,24737,
90,E06000013,North Lincolnshire,Local Authorities,LA,1868,4535,4650,4281,4678,25827,
91,E06000014,York,Local Authorities,LA,3372,8580,6498,5668,5763,30874,
92,E06000015,Derby,Local Authorities,LA,2975,7859,6773,5939,6372,33633,
93,E06000016,Leicester,Local Authorities,LA,2735,8589,7007,5836,4988,28555,
94,E06000017,Rutland,Local Authorities,LA,415,951,996,938,1060,5616,
95,E06000018,Nottingham,Local Authorities,LA,5815,14401,9114,7506,6689,37599,
96,E06000019,"Herefordshire, County of",Local Authorities,LA,1946,4864,4851,4732,5041,27770,
97,E06000020,Telford and Wrekin,Local Authorities,LA,2190,5149,4980,4611,5220,26862,
98,E06000021,Stoke-on-Trent,Local Authorities,LA,2968,7876,7411,6450,6796,37121,
99,E06000022,Bath and North East Somerset,Local Authorities,LA,3159,6960,4837,4429,4934,25995,
100,E06000023,"Bristol, City of",Local Authorities,LA,5399,18316,17212,15620,13070,69891,
101,E06000024,North Somerset,Local Authorities,LA,2053,4574,5011,4941,5952,30549,
102,E06000025,South Gloucestershire,Local Authorities,LA,3468,7399,7228,7144,8012,42358,
103,E06000026,Plymouth,Local Authorities,LA,4204,11810,9120,7257,7271,40371,
104,E06000027,Torbay,Local Authorities,LA,1417,3339,3189,2822,3315,18045,
105,E06000028,Bournemouth,Local Authorities,LA,2646,7570,6500,6567,5829,30887,
106,E06000029,Poole,Local Authorities,LA,1614,3897,4117,4184,4413,23164,
107,E06000030,Swindon,Local Authorities,LA,2156,5643,6528,6588,7468,35966,
108,E06000031,Peterborough,Local Authorities,LA,1681,5180,5846,5478,5180,27296,
109,E06000032,Luton,Local Authorities,LA,1336,4020,4433,3781,3340,19750,
110,E06000033,Southend-on-Sea,Local Authorities,LA,1669,4336,5035,5145,5506,27583,
111,E06000034,Thurrock,Local Authorities,LA,1640,4229,4681,4732,4895,24568,
112,E06000035,Medway,Local Authorities,LA,3518,8240,7526,7400,7592,40187,
113,E06000036,Bracknell Forest,Local Authorities,LA,1111,3035,3461,3471,3830,19127,
114,E06000037,West Berkshire,Local Authorities,LA,1621,3544,3923,4136,5058,25078,
115,E06000038,Reading,Local Authorities,LA,1799,5361,5210,5362,4608,23617,
116,E06000039,Slough,Local Authorities,LA,635,1901,2678,2960,2554,12930,
117,E06000040,Windsor and Maidenhead,Local Authorities,LA,1214,3073,3485,3816,4350,21518,
118,E06000041,Wokingham,Local Authorities,LA,1589,3412,3479,3933,4740,23268,
119,E06000042,Milton Keynes,Local Authorities,LA,2137,5636,7579,7799,7455,37783,
120,E06000043,Brighton and Hove,Local Authorities,LA,3758,11290,10363,9741,10052,49914,
121,E06000044,Portsmouth,Local Authorities,LA,3901,9679,7262,6052,5841,32275,
122,E06000045,Southampton,Local Authorities,LA,4553,12237,9086,7768,6796,36899,
123,E06000046,Isle of Wight,Local Authorities,LA,1481,3483,3287,3096,3383,19002,
124,E06000047,County Durham,Local Authorities,LA,7336,17078,15043,13411,14556,80672,
125,E06000048,Northumberland,Local Authorities,LA,3551,8047,7729,7780,8526,46326,
126,E06000049,Cheshire East,Local Authorities,LA,4183,9049,8999,9028,11220,56876,
127,E06000050,Cheshire West and Chester,Local Authorities,LA,3948,9053,8857,8423,10085,51390,
128,E06000051,Shropshire,Local Authorities,LA,3605,8814,7875,7597,8548,46713,
129,E06000054,Wiltshire,Local Authorities,LA,5437,12828,12235,11422,13981,72467,
130,E06000055,Bedford,Local Authorities,LA,1504,3560,3654,3706,3911,20910,
131,E06000056,Central Bedfordshire,Local Authorities,LA,2700,6565,6458,6715,8005,40491,
132,E07000004,Aylesbury Vale,Local Authorities,LA,1655,3605,3996,4582,5275,26856,
133,E07000005,Chiltern,Local Authorities,LA,825,1658,1619,1879,2483,12551,
134,E07000006,South Bucks,Local Authorities,LA,570,1289,1267,1277,1569,8429,
135,E07000007,Wycombe,Local Authorities,LA,1568,4073,3839,4035,4736,23579,
136,E07000008,Cambridge,Local Authorities,LA,2660,7410,5567,4683,3578,20453,
137,E07000009,East Cambridgeshire,Local Authorities,LA,791,2025,2215,2641,2910,14037,
138,E07000010,Fenland,Local Authorities,LA,961,2637,2615,2521,2720,14551,
139,E07000011,Huntingdonshire,Local Authorities,LA,1877,4600,4554,4607,5334,27372,
140,E07000012,South Cambridgeshire,Local Authorities,LA,1453,3577,3725,4135,4835,23400,
141,E07000026,Allerdale,Local Authorities,LA,1095,2370,2358,2387,2525,14410,
142,E07000027,Barrow-in-Furness,Local Authorities,LA,895,2023,1949,1779,1930,10924,
143,E07000028,Carlisle,Local Authorities,LA,1365,3085,3194,2966,3269,17157,
144,E07000029,Copeland,Local Authorities,LA,858,1905,2026,1801,1951,11210,
145,E07000030,Eden,Local Authorities,LA,615,1332,1158,1130,1376,7649,
146,E07000031,South Lakeland,Local Authorities,LA,1057,2230,2215,2289,2576,14367,
147,E07000032,Amber Valley,Local Authorities,LA,1329,3121,3022,3090,3924,19447,
148,E07000033,Bolsover,Local Authorities,LA,888,2109,2144,1998,2352,12391,
149,E07000034,Chesterfield,Local Authorities,LA,1197,2729,2967,2693,3177,16522,
150,E07000035,Derbyshire Dales,Local Authorities,LA,737,1594,1377,1366,1838,10078,
151,E07000036,Erewash,Local Authorities,LA,1273,3190,2947,3005,3543,18240,
152,E07000037,High Peak,Local Authorities,LA,1135,2605,2212,2207,2664,14419,
153,E07000038,North East Derbyshire,Local Authorities,LA,1110,2556,2273,2212,2833,14593,
154,E07000039,South Derbyshire,Local Authorities,LA,1004,2354,2485,2699,3137,15720,
155,E07000040,East Devon,Local Authorities,LA,1425,2936,2616,2490,3034,16499,
156,E07000041,Exeter,Local Authorities,LA,2485,5886,4098,3709,3390,18394,
157,E07000042,Mid Devon,Local Authorities,LA,794,1788,1962,1702,2144,11332,
