CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F560,F561,F562,F563,F564,F565,F566,F567,F568,F569,F570,F571,F572
,,,,,"Age : Age 16 to 74 - Travel to work; means of : All categories: Method of travel to work - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Work mainly at or from home - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Underground; metro; light rail; tram - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Train - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Bus; minibus or coach - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Taxi - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Motorcycle; scooter or moped - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Driving a car or van - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Passenger in a car or van - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Bicycle - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : On foot - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Other method of travel to work - Unit : Persons","Age : Age 16 to 74 - Travel to work; means of : Not in employment - Unit : Persons"
52,95AA,Antrim,"Local Authorities",LA,,,,,,,,,,,,,
53,95BB,Ards,"Local Authorities",LA,,,,,,,,,,,,,
54,95CC,Armagh,"Local Authorities",LA,,,,,,,,,,,,,
55,95DD,Ballymena,"Local Authorities",LA,,,,,,,,,,,,,
56,95EE,Ballymoney,"Local Authorities",LA,,,,,,,,,,,,,
57,95FF,Banbridge,"Local Authorities",LA,,,,,,,,,,,,,
58,95GG,Belfast,"Local Authorities",LA,,,,,,,,,,,,,
59,95HH,Carrickfergus,"Local Authorities",LA,,,,,,,,,,,,,
60,95II,Castlereagh,"Local Authorities",LA,,,,,,,,,,,,,
61,95JJ,Coleraine,"Local Authorities",LA,,,,,,,,,,,,,
62,95KK,Cookstown,"Local Authorities",LA,,,,,,,,,,,,,
63,95LL,Craigavon,"Local Authorities",LA,,,,,,,,,,,,,
64,95MM,Derry,"Local Authorities",LA,,,,,,,,,,,,,
65,95NN,Down,"Local Authorities",LA,,,,,,,,,,,,,
66,95OO,Dungannon,"Local Authorities",LA,,,,,,,,,,,,,
