"Zone Code","Zone Name","ks0170007"
"00EB","Hartlepool",30941
"00EC","Middlesbrough",44810
"00EE","Redcar and Cleveland",55173
"00EF","Stockton-on-Tees",75374
"00EH","Darlington",41236
"00ET","Halton",49161
"00EU","Warrington",95652
"00EX","Blackburn with Darwen",49448
"00EY","Blackpool",53608
"00FA","Kingston upon Hull, City of",74998
"00FB","East Riding of Yorkshire",160279
"00FC","North East Lincolnshire",60945
"00FD","North Lincolnshire",73272
"00FF","York",78288
"00FK","Derby",90854
"00FN","Leicester",91611
"00FP","Rutland",19170
"00FY","Nottingham",84433
"00GA","Herefordshire, County of",97178
"00GF","Telford and Wrekin",75206
"00GL","Stoke-on-Trent",93014
"00HA","Bath and North East Somerset",85670
"00HB","Bristol, City of",165334
"00HC","North Somerset",104551
"00HD","South Gloucestershire",138792
"00HG","Plymouth",98436
"00HH","Torbay",60202
"00HN","Bournemouth",79936
"00HP","Poole",75255
"00HX","Swindon",88146
"00JA","Peterborough",70701
"00KA","Luton",75991
"00KF","Southend-on-Sea",73811
"00KG","Thurrock",70703
"00LC","Medway",118754
"00MA","Bracknell Forest",62083
"00MB","West Berkshire",85547
"00MC","Reading",62369
"00MD","Slough",52700
"00ME","Windsor and Maidenhead",79527
"00MF","Wokingham",91792
"00MG","Milton Keynes",105088
"00ML","Brighton and Hove",100049
"00MR","Portsmouth",72609
"00MS","Southampton",91729
"00MW","Isle of Wight",63874
